name	cityid	lat	lon	google
Ota	1853677	36.299999	139.366669	https://www.google.co.jp/maps/@36.299999,139.366669,15z
Gose	1863541	34.450001	135.733337	https://www.google.co.jp/maps/@34.450001,135.733337,15z
Tatsuno	1850498	35.984261	137.997208	https://www.google.co.jp/maps/@35.984261,137.997208,15z
Kashima	1859941	33.10611	130.090561	https://www.google.co.jp/maps/@33.10611,130.090561,15z
Izumi	1861108	32.083328	130.366669	https://www.google.co.jp/maps/@32.083328,130.366669,15z
Kushima	1895695	31.45833	131.233337	https://www.google.co.jp/maps/@31.45833,131.233337,15z
Aki	1865449	33.5	133.899994	https://www.google.co.jp/maps/@33.5,133.899994,15z
Maibara	1857769	35.316669	136.283325	https://www.google.co.jp/maps/@35.316669,136.283325,15z
Yamato-Takada	1848593	34.51667	135.75	https://www.google.co.jp/maps/@34.51667,135.75,15z
Mino	1857046	34.826908	135.470566	https://www.google.co.jp/maps/@34.826908,135.470566,15z
Sannohe	2128303	40.373058	141.257217	https://www.google.co.jp/maps/@40.373058,141.257217,15z
Kin	1859462	26.452221	127.917778	https://www.google.co.jp/maps/@26.452221,127.917778,15z
Nakijin	1855713	26.675831	127.971672	https://www.google.co.jp/maps/@26.675831,127.971672,15z
Yabuki	2110583	37.200001	140.316666	https://www.google.co.jp/maps/@37.200001,140.316666,15z
Naganohara	1856212	36.549999	138.633331	https://www.google.co.jp/maps/@36.549999,138.633331,15z
